Team,Nationality,Position,Age,Potential,Name 
Pescara ,Italy,Medio centro ofensivo|Medio centro,37,Bueno,Alessandro Bruno
Perth Glory ,Australia,Delantero Centro|Extremo izquierdo,30,Bueno,Joel Chianese
Mansfield Town ,England,Delantero Centro,26,Bueno,Danny Rose
Eintracht Braunschweig ,Germany,Medio centro ofensivo|Medio centro,35,Bueno,Marc Pfitzner
Hallescher FC ,Germany,Defensa central|Medio centro ofensivo|Medio centro,31,Bueno,Jan Washausen
Colchester United ,England,Delantero Centro,27,Bueno,Luke Norris
Blackpool ,England,Lateral derecho|Defensa central,27,Bueno,Oliver Turton
Crawley Town ,Netherlands,Medio izquierdo,26,Bueno,Gyliano van Velzen
Melbourne City ,Australia,Defensa central,27,Bueno,Curtis Good
HJK Helsinki ,Finland,Delantero Centro,28,Bueno,Roope Riski
Motherwell ,Republic of Ireland,Lateral izquierdo,28,Bueno,Jake Carroll
Sporting Kansas City ,Mexico,Portero,26,Bueno,Richard Sánchez
Northampton Town ,Republic of Ireland,Carrilero derecho|Lateral derecho|Lateral izquierdo|Extremo izquierdo,27,Bueno,Michael Harriman
Central Coast Mariners ,Brazil,Delantero Centro|Medio izquierdo,31,Bueno,Jair
Perth Glory ,Korea Republic,Carrilero derecho|Carrilero izquierdo|Extremo izquierdo|Extremo izquierdo,29,Bueno,Kim Soo Beom
Free Agents ,Bulgaria,Medio derecho|Medio izquierdo|Medio centro ofensivo,32,Bueno,Galin Ivanov
Bradford City ,England,Medio derecho|Extremo izquierdo,26,Bueno,Zeli Ismail
Fortuna Sittard ,Slovenia,Portero,28,Bueno,Azbe Jug
Southend United ,England,Lateral izquierdo,27,Bueno,Nathan Ralph
Fotbal Club Voluntari ,Slovenia,Lateral derecho,31,Bueno,Andraz Struna
Southend United ,Republic of Ireland,Carrilero izquierdo|Medio derecho|Medio izquierdo|Extremo izquierdo,30,Bueno,Stephen McLaughlin
Kalmar FF ,Norway,Delantero Centro,32,Bueno,Geir André Herrem
Exeter City ,England,Delantero Centro,28,Bueno,Nicky Ajose
Columbus Crew SC ,United States,Portero,27,Bueno,Jon Kempin
Zaglebie Lubin ,Poland,Portero,28,Bueno,Konrad Forenc
St. Johnstone FC ,Scotland,Lateral izquierdo,29,Bueno,Callum Booth
Guangzhou R&F FC ,China PR,Defensa central,30,Bueno,Yi Teng
1. FC Kaiserslautern ,Germany,Medio derecho|Extremo izquierdo,29,Bueno,Christoph Hemlein
Tranmere Rovers ,England,Medio centro,27,Bueno,Ollie Banks
AS Nancy Lorraine ,France,Lateral derecho|Lateral izquierdo,29,Bueno,Loris Néry
Ascoli ,Italy,Delantero Centro,28,Bueno,Giacomo Beretta
AFC Wimbledon ,England,Defensa central,28,Bueno,Rod McDonald
Gangwon FC ,Korea Republic,Medio centro ofensivo|Medio centro|Medio centro ofensivo,32,Bueno,Lee Jae Kwon
Reading ,England,Portero,28,Bueno,Sam Walker
LDU Quito ,Colombia,Delantero Centro,32,Bueno,Cristian Martínez Borja
Southend United ,England,Medio centro ofensivo|Medio centro,28,Bueno,Sam Mantom
Piast Gliwice ,Poland,Defensa central,28,Bueno,Piotr Malarczyk
FC Chambly Oise ,France,Delantero Centro,31,Bueno,Medhy Guezoui
Sheffield United ,England,Medio derecho|Medio izquierdo|Medio centro ofensivo,33,Bueno,Ricky Holmes
SV Meppen ,Germany,Medio centro ofensivo|Medio centro ofensivo,28,Bueno,Willi Evseev
Royal Excel Mouscron ,Belgium,Medio centro ofensivo|Medio centro|Medio centro ofensivo,29,Bueno,Enes Saglik
Minnesota United FC ,New Zealand,Medio centro ofensivo|Medio centro,28,Bueno,James Musa
Oldham Athletic ,Congo,Medio centro ofensivo|Medio centro,28,Bueno,Christopher Missilou
Southend United ,Republic of Ireland,Defensa central,28,Bueno,Joe Shaughnessy
FK Haugesund ,Norway,Lateral izquierdo|Medio centro,29,Bueno,Joakim Våge Nilsen
Kristiansund BK ,Norway,Lateral izquierdo,27,Bueno,Christoffer Aasbak
Salford City ,England,Delantero Centro|Medio derecho|Medio izquierdo,28,Bueno,Jake Jervis
New England Revolution ,United States,Lateral izquierdo,33,Bueno,Seth Sinovic
Exeter City ,England,Defensa central,30,Bueno,Aaron Martin
Forest Green Rovers ,England,Medio izquierdo,29,Bueno,Elliott Frear
Exeter City ,England,Delantero Centro,28,Bueno,Ryan Bowman
West Bromwich Albion ,England,Portero,27,Bueno,Jonathan Bond
FC Hansa Rostock ,Canada,Defensa central,29,Bueno,Adam Straith
Colchester United ,England,Medio derecho|Medio izquierdo,29,Bueno,Paris Cowan-Hall
Shrewsbury ,England,Delantero Centro,27,Bueno,Conor McAleny
Castellammare di Stabia ,Italy,Portero,33,Bueno,Danilo Russo
FC Zürich ,Sierra Leone,Defensa central|Medio centro ofensivo,32,Bueno,Umaru Bangura
SV Meppen ,Germany,Medio derecho|Medio centro ofensivo,29,Bueno,Luka Tankulic
Livorno ,Italy,Delantero Centro|Media punta|Extremo izquierdo,37,Bueno,Fabio Mazzeo
Southend United ,England,Medio centro,28,Bueno,Luke Hyam
Portsmouth ,England,Lateral izquierdo,29,Bueno,Lee Brown
Brisbane Roar ,Australia,Carrilero derecho|Lateral derecho|Extremo izquierdo,29,Bueno,Jack Hingert
Milton Keynes Dons ,Republic of Ireland,Delantero Centro,29,Bueno,Joe Mason
Hobro IK ,Denmark,Defensa central,29,Bueno,Simon Jakobsen
Ross County FC ,Northern Ireland,Delantero Centro,31,Bueno,Billy McKay
Asocia?ia Fotbal Club Hermannstadt ,Cape Verde,Lateral derecho,29,Bueno,Tiago Almeida
Crotone ,Italy,Lateral derecho|Medio derecho|Medio centro,30,Bueno,Alberto Gerbo
FC Admira Wacker Mödling ,Austria,Delantero Centro|Medio derecho|Medio izquierdo,29,Bueno,Markus Pink
FC Ingolstadt 04 ,Germany,Defensa central|Medio centro ofensivo,30,Bueno,Jonatan Kotzke
Bristol Rovers ,England,Medio izquierdo,29,Bueno,Kyle Bennett
Wisla Plock ,Poland,Lateral izquierdo|Medio izquierdo,32,Bueno,Piotr Tomasik
Port Vale ,England,Defensa central,35,Bueno,Leon Legge
Rodez Aveyron Football ,France,Defensa central|Medio centro ofensivo,31,Bueno,Loïc Poujol
Portsmouth ,England,Defensa central,28,Bueno,Paul Downing
Bradford City ,England,Delantero Centro,31,Bueno,Lee Novak
IK Sirius ,Sweden,Lateral derecho|Lateral izquierdo|Defensa central,29,Bueno,Tim Björkström
Puebla ,Mexico,Defensa central,28,Bueno,Alonso Zamora
Seongnam FC ,Korea Republic,Delantero Centro,30,Bueno,Kim Hyun Sung
Matsumoto Yamaga F.C. ,Japan,Carrilero derecho|Medio derecho|Extremo izquierdo,37,Bueno,Hayuma Tanaka
Lillestrøm SK ,Norway,Lateral derecho|Lateral izquierdo,28,Bueno,Simen Rafn
Incheon United FC ,Korea Republic,Portero,31,Bueno,Jung San
Al Shabab ,Saudi Arabia,Lateral izquierdo|Defensa central|Carrilero izquierdo|Extremo izquierdo,32,Bueno,Abdullah Al Zori
GIF Sundsvall ,Sweden,Defensa central|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,33,Bueno,David Myrestam
Ranheim Fotball ,Norway,Delantero Centro|Extremo izquierdo,27,Bueno,Mushaga Bakenga
SK Brann ,Norway,Portero,28,Bueno,Eirik Holmen Johansen
Asocia?ia Fotbal Club Hermannstadt ,Portugal,Delantero Centro|Medio izquierdo,31,Bueno,Yazalde
Fotbal Club Voluntari ,Moldova,Defensa central,33,Bueno,Igor Arma?
Crewe Alexandra ,England,Medio izquierdo|Extremo izquierdo,29,Bueno,Daniel Powell
spusu SKN St. Pölten ,Austria,Medio centro|Medio centro ofensivo,29,Bueno,Dominik Hofbauer
Stabæk Fotball ,Norway,Lateral derecho|Lateral izquierdo|Defensa central,32,Bueno,Mats Solheim
Milton Keynes Dons ,England,Delantero Centro|Extremo izquierdo,29,Bueno,Jordan Bowery
Tiburones Rojos de Veracruz ,Mexico,Defensa central,31,Bueno,Lampros Kontogiannis
Dundalk ,Republic of Ireland,Lateral izquierdo,32,Bueno,Dane Massey
AFC Eskilstuna ,Sweden,Portero,30,Bueno,Ole Söderberg
Audax Italiano ,Chile,Lateral izquierdo,34,Bueno,Nicolás Crovetto
KFC Uerdingen 05 ,Germany,Medio centro,31,Bueno,Dennis Daube
FC Sion ,Switzerland,Lateral izquierdo,29,Bueno,Mickaël Facchinetti
Górnik Zabrze ,Poland,Medio centro ofensivo,31,Bueno,Szymon Matuszek
Kristiansund BK ,Sweden,Medio centro|Medio centro ofensivo,28,Bueno,Liridon Kalludra
Örebro SK ,Sweden,Medio centro,31,Bueno,Johan Mårtensson
KFC Uerdingen 05 ,Germany,Lateral derecho|Lateral izquierdo,31,Bueno,Alexander Bittroff
Stevenage ,England,Delantero Centro|Medio centro ofensivo,32,Bueno,Paul Taylor
WSG Swarovski Tirol ,Austria,Delantero Centro|Medio derecho|Extremo izquierdo,33,Bueno,Clemens Walch
SC Preußen Münster ,Germany,Defensa central,32,Bueno,Ole Kittner
Central Coast Mariners ,Australia,Portero,29,Bueno,Mark Birighitti
Hamilton Academical FC ,Scotland,Lateral izquierdo|Defensa central,32,Bueno,Brian Easton
Exeter City ,England,Lateral izquierdo|Defensa central,34,Bueno,Dean Moxey
LKS Lódz ,Poland,Defensa central,33,Bueno,Maciej Dabrowski
Accrington Stanley ,Republic of Ireland,Medio centro ofensivo|Medio centro,32,Bueno,Seámus Conneely
Deportivo Toluca ,Mexico,Lateral derecho|Lateral izquierdo,34,Bueno,Richard Ruiz
Tiburones Rojos de Veracruz ,Mexico,Lateral izquierdo,30,Bueno,Carlos Gutiérrez
Jeonbuk Hyundai Motors ,Korea Republic,Portero,32,Bueno,Hong Jung Nam
Plymouth Argyle ,Republic of Ireland,Defensa central,29,Bueno,Niall Canavan
Bolton Wanderers ,England,Medio izquierdo,30,Bueno,Will Buckley
Burton Albion ,Republic of Ireland,Defensa central|Medio centro|Medio centro ofensivo,31,Bueno,John-Joe O'Toole
AFC Wimbledon ,England,Carrilero derecho|Medio derecho|Medio centro|Extremo izquierdo,30,Bueno,Scott Wagstaff
Southend United ,England,Portero,29,Bueno,Mark Oxley
Blackpool ,Republic of Ireland,Medio derecho,29,Bueno,Sean Scannell
Gillingham ,England,Delantero Centro,31,Bueno,John Akinde
Sport Huancayo ,Ivory Coast,Defensa central,35,Bueno,Hervé Kambou
Le Mans FC ,France,Portero,31,Bueno,Yohann Thuram
Blackpool ,England,Delantero Centro|Medio derecho|Medio izquierdo,29,Bueno,Nathan Delfouneso
Tranmere Rovers ,England,Defensa central,31,Bueno,Mark Ellis
Rosario Central ,Argentina,Portero,32,Bueno,Josué Ayala
Djurgårdens IF ,Sweden,Medio centro,30,Bueno,Kevin Walker
AS Nancy Lorraine ,Cameroon,Delantero Centro,34,Bueno,Ande Dona Ndoh
Blackpool ,England,Portero,33,Bueno,Mark Howard
Blackburn Rovers ,Canada,Portero,31,Bueno,Jayson Leutwiler
TSV 1860 München ,Germany,Medio centro|Medio centro ofensivo,31,Bueno,Timo Gebhart
Burnley ,England,Portero,33,Bueno,Adam Legzdins
Royal Excel Mouscron ,Belgium,Lateral izquierdo|Defensa central,31,Bueno,Jérémy Huyghebaert
Newcastle Jets ,Australia,Defensa central,35,Bueno,Nikolai Topor-Stanley
Jeonbuk Hyundai Motors ,Korea Republic,Lateral izquierdo|Medio izquierdo,36,Bueno,Park Won Jae
Rionegro Águilas ,Venezuela,Medio derecho|Medio izquierdo,32,Bueno,Frank Feltscher
Fútbol Club Juárez ,Mexico,Medio centro,32,Bueno,Manuel Viniegra
Cheltenham Town ,England,Delantero Centro,32,Bueno,Reuben Reid
WSG Swarovski Tirol ,Austria,Delantero Centro,37,Bueno,Stefan Maierhofer
WSG Swarovski Tirol ,Spain,Defensa central,34,Bueno,Ione Cabrera
Alanyaspor ,Turkey,Portero,32,Bueno,Cenk Gönen
SV Mattersburg ,Austria,Defensa central,32,Bueno,Nedeljko Malic
Southend United ,Australia,Medio centro ofensivo|Medio centro,34,Bueno,Mark Milligan
Guaraní (Paraguay) ,Uruguay,Portero,38,Bueno,Jorge Bava
Gyeongnam FC ,Korea Republic,Medio derecho|Extremo izquierdo|Extremo izquierdo,37,Bueno,Bae Ki Jong
FC Lugano ,Switzerland,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,29,Bueno,Mattia Bottani
Fotbal Club Voluntari ,Spain,Medio centro ofensivo|Medio centro,33,Bueno,De Lucas
Ipswich Town ,Wales,Defensa central,31,Bueno,James Wilson
Pordenone ,Italy,Lateral derecho,33,Bueno,Daniel Semenzato
SønderjyskE ,Iceland,Medio centro ofensivo|Medio centro,31,Bueno,Eggert Jónsson
AFC Wimbledon ,England,Medio centro,31,Bueno,Anthony Wordsworth
LKS Lódz ,Poland,Medio centro ofensivo|Medio centro,34,Bueno,Lukasz Piatek
Rotherham United ,Wales,Medio centro ofensivo|Medio centro,32,Bueno,Shaun MacDonald
Shrewsbury ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,32,Bueno,Scott Golbourne
MSV Duisburg ,Germany,Defensa central,35,Bueno,Marvin Compper
Colchester United ,England,Defensa central,32,Bueno,Luke Prosser
Scunthorpe United ,Northern Ireland,Defensa central,33,Bueno,Rory McArdle
Walsall ,England,Medio centro ofensivo|Medio centro,33,Bueno,Danny Guthrie
Scunthorpe United ,England,Delantero Centro|Medio derecho|Medio izquierdo,32,Bueno,Adam Hammill
Ross County FC ,Scotland,Medio derecho|Medio izquierdo,34,Bueno,Michael Gardyne
Club Atlas ,Mexico,Portero,37,Bueno,Edgar Hernández
TSV Hartberg ,Austria,Lateral izquierdo,33,Bueno,Siegfried Rasswalder
Exeter City ,England,Delantero Centro|Medio centro ofensivo,33,Bueno,Lee Martin
Club Alianza Lima ,Peru,Portero,43,Bueno,Leao Butrón
Oldham Athletic ,Republic of Ireland,Lateral izquierdo|Medio centro,33,Bueno,Chris McCann
Sociedad Deportiva Aucas ,Argentina,Delantero Centro|Media punta,34,Bueno,Luis Miguel Escalada
Grimsby Town ,Republic of Ireland,Delantero Centro|Medio centro ofensivo|Media punta,32,Bueno,Billy Clarke
Rochdale ,England,Portero,33,Bueno,Josh Lillis
Lincoln City ,Republic of Ireland,Medio centro,34,Bueno,Lee Frecklington
Walsall ,England,Defensa central,35,Bueno,Mat Sadler
Gillingham ,England,Lateral derecho,35,Bueno,Barry Fuller
Chemnitzer FC ,Austria,Defensa central,33,Bueno,Niklas Hoheneder
Curicó Unido ,Argentina,Medio centro ofensivo|Medio centro,37,Bueno,Martín Cortés
Tiburones Rojos de Veracruz ,Mexico,Portero,37,Bueno,Melitón Hernández
LASK Linz ,Austria,Portero,38,Bueno,Thomas Gebauer
Stevenage ,Egypt,Defensa central,35,Bueno,Adam El-Abd
Lyngby BK ,Denmark,Medio centro ofensivo|Medio centro,34,Bueno,Martin Ørnskov
Piast Gliwice ,Poland,Portero,39,Bueno,Jakub Szmatula
Kristiansund BK ,Ethiopia,Delantero Centro|Lateral derecho|Medio izquierdo,34,Bueno,Amin Askar
Fleetwood Town ,England,Medio centro,36,Bueno,Dean Marney
Slask Wroclaw ,Poland,Lateral derecho|Lateral izquierdo|Defensa central,34,Bueno,Mariusz Pawelec
Legia Warszawa ,Spain,Defensa central,36,Bueno,Iñaki Astiz
HJK Helsinki ,Spain,Portero,38,Bueno,Reguero
Salford City ,Scotland,Medio derecho|Medio izquierdo,35,Bueno,Craig Conway
Club Tijuana ,Mexico,Portero,41,Bueno,Luis Michel
Milton Keynes Dons ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,36,Bueno,Dean Lewington
Ross County FC ,Scotland,Carrilero derecho|Lateral derecho|Lateral izquierdo|Extremo izquierdo,34,Bueno,Richard Foster
Tranmere Rovers ,Republic of Ireland,Medio centro ofensivo|Medio centro,35,Bueno,Darren Potter
FSV Zwickau ,Germany,Delantero Centro,37,Bueno,Ronny König
Blackpool ,England,Carrilero derecho|Medio derecho|Extremo izquierdo,33,Bueno,Liam Feeney
Inter ,Italy,Portero,37,Bueno,Tommaso Berni
Wycombe Wanderers ,England,Medio centro,36,Bueno,Matt Bloomfield
Exeter City ,England,Medio derecho|Medio izquierdo,33,Bueno,Lee Holmes
Tranmere Rovers ,England,Defensa central,38,Bueno,Peter Clarke
Crawley Town ,England,Portero,36,Bueno,Glenn Morris
Crewe Alexandra ,Republic of Ireland,Medio centro,37,Bueno,Paul Green
Free Agents ,Bulgaria,Lateral izquierdo,22,Bueno,Angel Lyaskov
FC Schalke 04 ,Finland,Defensa central|Medio centro ofensivo,18,Muy bueno,Malick Thiaw
Girona FC ,Uruguay,Delantero Centro,23,Bueno,Joaquín Zeballos
MKE Ankaragücü ,Serbia,Medio centro ofensivo,26,Bueno,Miloš Stanojevic
Club Libertad ,Paraguay,Medio centro ofensivo,20,Bueno,Hugo Martínez
Rio Ave FC ,Brazil,Extremo izquierdo|Extremo izquierdo,21,Bueno,Leandro Silva
FC Dallas ,United States,Defensa central,23,Bueno,Nkosi Burgess
Vélez Sarsfield ,Argentina,Medio centro ofensivo|Medio centro,20,Bueno,Marcos Enrique
FBC Melgar ,Peru,Medio centro ofensivo,25,Bueno,Jeremy Salas
Club Atlético Nacional Potosí ,Bolivia,Portero,30,Bueno,Elder Arauz
Unión de Santa Fe ,Argentina,Lateral derecho,20,Bueno,Francisco Gerometta
Liverpool Fútbol Club ,Uruguay,Medio centro ofensivo,17,Bueno,Fabricio Díaz
Girona FC ,Spain,Delantero Centro|Medio centro ofensivo,23,Bueno,Carlos Martínez
Toulouse Football Club ,France,Delantero Centro,17,Muy bueno,Janis Antiste
Atlético Madrid ,Spain,Lateral derecho|Medio derecho,20,Bueno,Ricard
Club Sol de América ,Ecuador,Delantero Centro,24,Bueno,Jacson Pita
Cusco Fútbol Club ,Peru,Medio derecho,24,Bueno,Miguel Carranza
Cusco Fútbol Club ,Peru,Lateral derecho,24,Bueno,Jorge Toledo
FC Utrecht ,Germany,Delantero Centro,23,Bueno,Jonas Arweiler
Olympique Lyonnais ,Brazil,Medio derecho|Medio centro ofensivo,21,Bueno,Camilo
Belenenses ,Portugal,Defensa central,23,Bueno,Danny Henriques
HJK Helsinki ,Serbia,Defensa central,31,Bueno,Ivan Ostojic
Portimonense SC ,Iraq,Delantero Centro,20,Muy bueno,Mohanad Ali
Standard de Liège ,Mali,Defensa central,19,Bueno,Moussa Sissako
Liverpool Fútbol Club ,Uruguay,Defensa central,27,Bueno,Maximiliano Pereira
Marítimo ,Portugal,Medio derecho|Medio izquierdo,22,Bueno,André Mesquita
Rosario Central ,Argentina,Medio centro ofensivo,20,Bueno,Francesco Lo Celso
Rosario Central ,Argentina,Medio centro ofensivo,19,Muy bueno,Rodrigo Villagra
Vancouver Whitecaps FC ,Ghana,Medio centro ofensivo|Medio centro,23,Bueno,Leonard Owusu
Liverpool Fútbol Club ,Uruguay,Medio centro ofensivo,32,Bueno,Guillermo Firpo
Deportes Tolima ,Costa Rica,Delantero Centro,27,Bueno,Francisco Rodríguez
Club Atlético Nacional Potosí ,Bolivia,Defensa central,29,Bueno,Jorge Cuellar
Kaizer Chiefs ,Kenya,Medio centro ofensivo|Medio centro,27,Bueno,Teddy Akumu
Wisla Kraków ,Serbia,Medio centro ofensivo|Medio centro,23,Bueno,Nikola Kuveljic
RSC Anderlecht ,Belgium,Delantero Centro|Medio centro ofensivo,19,Bueno,Antoine Colassin
Cusco Fútbol Club ,Peru,Delantero Centro,30,Bueno,Janio Pósito
SK Slavia Praha ,Brazil,Extremo izquierdo|Extremo izquierdo,19,Bueno,João Felipe
Shamrock Rovers ,Northern Ireland,Lateral derecho|Medio centro,25,Bueno,Rhys Marshall
Royal Antwerp FC ,DR Congo,Defensa central,24,Bueno,Luete Ava Dongo
Valencia CF ,Spain,Medio centro ofensivo|Media punta,19,Bueno,Gozálbez
Belenenses ,Portugal,Medio centro ofensivo,21,Bueno,Tomás Castro
Caracas Fútbol Club ,Venezuela,Medio centro,23,Bueno,Luis Ramírez
Havre Athletic Club ,France,Defensa central,20,Bueno,Loïc Badé
C.D. Universidad Católica del Ecuador ,Ecuador,Defensa central,21,Bueno,Luis Castillo
Club Deportivo Jorge Wilstermann ,Bolivia,Delantero Centro,24,Bueno,Willan Álvarez
Patronato ,Argentina,Medio centro ofensivo|Medio centro,23,Bueno,Lautaro Torres
LDU Quito ,Ecuador,Extremo izquierdo|Extremo izquierdo,21,Bueno,Davinson Jama
Houston Dynamo ,United States,Medio centro|Medio centro ofensivo,19,Bueno,Marcelo Palomino
Club Plaza de Deportes Colonia ,Uruguay,Delantero Centro|Medio derecho|Extremo izquierdo,25,Bueno,Ramiro Quintana
spusu SKN St. Pölten ,Austria,Delantero Centro|Extremo izquierdo|Extremo izquierdo,20,Bueno,Nicolas Meister
Club Sportivo Luqueño ,Paraguay,Lateral derecho,30,Bueno,Oscar Noguera
Club Sportivo Luqueño ,Paraguay,Lateral derecho|Defensa central,25,Bueno,Richard Cabrera
Ajax ,Netherlands,Delantero Centro|Extremo izquierdo|Extremo izquierdo,18,Muy bueno,Sontje Hansen
Club River Plate Asunción ,Paraguay,Lateral derecho,33,Bueno,Gustavo Giménez
Club River Plate Asunción ,Paraguay,Lateral izquierdo,26,Bueno,Carlos Montiel
Club River Plate Asunción ,Paraguay,Medio centro,28,Bueno,Francisco Parra
Club River Plate Asunción ,Paraguay,Portero,31,Bueno,Pablo Gavilán
FC Girondins de Bordeaux ,France,Media punta,21,Bueno,Mehdi Zerkane
Club Atlético River Plate ,Uruguay,Defensa central,21,Bueno,Joaquín Fernández
Club Atlético Peñarol ,Uruguay,Medio izquierdo|Medio centro,21,Bueno,Joaquín Piquerez
Llaneros Escuela de Fútbol ,Colombia,Delantero Centro|Medio derecho|Medio izquierdo,27,Bueno,Anderson Perea
Llaneros Escuela de Fútbol ,Venezuela,Medio centro ofensivo|Extremo izquierdo,26,Bueno,Yonaiker Reyes
CA Osasuna ,Spain,Portero,23,Bueno,Iñaki Álvarez
Club Deportivo El Nacional ,Ecuador,Delantero Centro,26,Bueno,Edwin Cangá
Club Always Ready ,Bolivia,Lateral derecho|Extremo izquierdo,26,Bueno,Kevin Romay
Club Deportivo El Nacional ,Ecuador,Medio derecho|Extremo izquierdo,25,Bueno,Jorge Ordóñez
Club Always Ready ,Bolivia,Extremo izquierdo,25,Bueno,Anderson Rey
Club Sol de América ,Paraguay,Medio centro ofensivo|Medio centro,32,Bueno,Aldo Vera
